,edge,edge_text,variables,variables_text
172,(slams/Pd.sox.|f--3s-/en hezbollah/Cp.s/en hamas/Cp.s/en (for/T/en (accepting/P.ox.|pg----/en (palestinian/Ma/en state/Cc.s/en) (in/T/en (67/M#/en lines/Cc.p/en))))),Hezbollah slams Hamas for accepting Palestinian state in 67 lines,"[{'PRED': ['slams/Pd.sox.|f--3s-/en'], 'SOURCE': ['hezbollah/Cp.s/en'], 'TARGET': ['hamas/Cp.s/en'], 'TOPIC': [['accepting/P.ox.|pg----/en'], [['palestinian/Ma/en'], ['state/Cc.s/en']], [['in/T/en'], [['67/M#/en'], ['lines/Cc.p/en']]]]}]","[{'PRED': 'slams', 'SOURCE': 'Hezbollah', 'TARGET': 'Hamas', 'TOPIC': 'accepting Palestinian state in 67 lines'}]"
173,(slams/Pd.sox.|f--3s-/en russia/Cp.s/en germany/Cp.s/en (for/T/en (halting/P.o.|pg----/en (+/B.am/. arms/Cc.p/en deal/Cc.s/en)))),Russia slams Germany for halting arms deal,"[{'PRED': ['slams/Pd.sox.|f--3s-/en'], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['germany/Cp.s/en'], 'TOPIC': [['halting/P.o.|pg----/en'], [['+/B.am/.'], ['arms/Cc.p/en'], ['deal/Cc.s/en']]]}]","[{'PRED': 'slams', 'SOURCE': 'Russia', 'TARGET': 'Germany', 'TOPIC': 'halting arms deal'}]"
174,(tell/Pd.s?orr.-i-----/en hezbollah/Cp.s/en (fighting/Pd.x.|pg----/en (for/T/en assad/Cp.s/en)) hamas/Cp.s/en (training/P.o.|pg----/en rebels/Cc.p/en) ((to/Mi/en leave/P.o.-i-----/en) syria/Cp.s/en)),"Hezbollah, fighting for Assad tell Hamas, training rebels, to leave Syria","[{'PRED': ['tell/Pd.s?orr.-i-----/en'], 'SOURCE': ['hezbollah/Cp.s/en'], 'TARGET': ['hamas/Cp.s/en']}]","[{'PRED': 'tell', 'SOURCE': 'Hezbollah', 'TARGET': 'Hamas'}]"
175,(tell/Pd.so.|f-----/en swiss/Cp.p/en eu/Cp.s/en),Swiss tell EU,"[{'PRED': ['tell/Pd.so.|f-----/en'], 'SOURCE': ['swiss/Cp.p/en'], 'TARGET': ['eu/Cp.s/en']}]","[{'PRED': 'tell', 'SOURCE': 'Swiss', 'TARGET': 'EU'}]"
176,(tell/Pd.sor.|f-----/en swiss/Ca/en eu/Cp.s/en (+/B.mm/. (off/Ml/en hands/Cc.p/en) ('/Bp.am/en veterans/Cc.p/en (+/B.am/. assault/Cc.s/en rifles/Cc.p/en)))),Swiss tell EU: Hands off veterans' assault rifles,"[{'PRED': ['tell/Pd.sor.|f-----/en'], 'SOURCE': ['swiss/Ca/en'], 'TARGET': ['eu/Cp.s/en']}]","[{'PRED': 'tell', 'SOURCE': 'Swiss', 'TARGET': 'EU'}]"
177,(telling/Pd.sor.|pg----/en washington/Cp.s/en pakistan/Cp.s/en (that/T/en ((will/Mm/en have/P.sr.-i-----/en) it/Ci/en ((to/Mi/en fund/P.xx.-i-----/en) (for/T/en f-16s/Cc.p/en) (on/T/en (its/Mp/en own/Ca/en)))))),Washington telling Pakistan that it will have to fund for F-16s on its own,"[{'PRED': ['telling/Pd.sor.|pg----/en'], 'SOURCE': ['washington/Cp.s/en'], 'TARGET': ['pakistan/Cp.s/en']}]","[{'PRED': 'telling', 'SOURCE': 'Washington', 'TARGET': 'Pakistan'}]"
178,(threatened/P.so.<f-----/en kerry/Cp.s/en israel/Cp.s/en),Kerry threatened Israel,"[{'PRED': ['threatened/P.so.<f-----/en'], 'SOURCE': ['kerry/Cp.s/en'], 'TARGET': ['israel/Cp.s/en']}]","[{'PRED': 'threatened', 'SOURCE': 'Kerry', 'TARGET': 'Israel'}]"
179,(threatens/P.so.|f--3s-/en iran/Cp.s/en pakistan/Cp.s/en),Iran threatens Pakistan,"[{'PRED': ['threatens/P.so.|f--3s-/en'], 'SOURCE': ['iran/Cp.s/en'], 'TARGET': ['pakistan/Cp.s/en']}]","[{'PRED': 'threatens', 'SOURCE': 'Iran', 'TARGET': 'Pakistan'}]"
180,(threatens/P.so.|f--3s-/en russia/Cp.s/en ukraine/Cp.s/en),Russia threatens Ukraine,"[{'PRED': ['threatens/P.so.|f--3s-/en'], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['ukraine/Cp.s/en']}]","[{'PRED': 'threatens', 'SOURCE': 'Russia', 'TARGET': 'Ukraine'}]"
181,(threatens/Pd.so.|f--3s-/en china/Cp.s/en japan/Cp.s/en),China Threatens Japan,"[{'PRED': ['threatens/Pd.so.|f--3s-/en'], 'SOURCE': ['china/Cp.s/en'], 'TARGET': ['japan/Cp.s/en']}]","[{'PRED': 'threatens', 'SOURCE': 'China', 'TARGET': 'Japan'}]"
182,(threatens/Pd.so.|f--3s-/en china/Cp.s/en ngo/Cp.s/en),China threatens NGO,"[{'PRED': ['threatens/Pd.so.|f--3s-/en'], 'SOURCE': ['china/Cp.s/en'], 'TARGET': ['ngo/Cp.s/en']}]","[{'PRED': 'threatens', 'SOURCE': 'China', 'TARGET': 'NGO'}]"
183,(threatens/Pd.so.|f--3s-/en iran/Cp.s/en arabs/Cp.p/en),Iran threatens Arabs,"[{'PRED': ['threatens/Pd.so.|f--3s-/en'], 'SOURCE': ['iran/Cp.s/en'], 'TARGET': ['arabs/Cp.p/en']}]","[{'PRED': 'threatens', 'SOURCE': 'Iran', 'TARGET': 'Arabs'}]"
184,(threatens/Pd.so?o.|f--3s-/en iran/Cp.s/en arabs/Cp.p/en (((as/M/en much/M/en) as/T/en) (says/Pd.s.|f--3s-/en (+/B.am/. islamic/Cp.s/en state/Cp.s/en))) bahrain/Cp.s/en),Iran threatens Arabs as much as Islamic State says Bahrain,"[{'PRED': ['threatens/Pd.so?o.|f--3s-/en'], 'SOURCE': ['iran/Cp.s/en'], 'TARGET': ['arabs/Cp.p/en']}, {'PRED': ['threatens/Pd.so?o.|f--3s-/en'], 'SOURCE': ['iran/Cp.s/en'], 'TARGET': ['bahrain/Cp.s/en']}]","[{'PRED': 'threatens', 'SOURCE': 'Iran', 'TARGET': 'Arabs'}, {'PRED': 'threatens', 'SOURCE': 'Iran', 'TARGET': 'Bahrain'}]"
185,(threatens/Pd.soxx.|f--3s-/en eu/Cp.s/en russia/Cp.s/en (with/T/en (+/B.am/. new/Cp.s/en sanctions/Cp.p/en)) (if/T/en (fails/Pd.s.|f--3s-/en (+/B.am/. ukraine/Cp.s/en deal/Cp.s/en)))),EU Threatens Russia With New Sanctions If Ukraine Deal Fails,"[{'PRED': ['threatens/Pd.soxx.|f--3s-/en'], 'SOURCE': ['eu/Cp.s/en'], 'TARGET': ['russia/Cp.s/en'], 'TOPIC': [['fails/Pd.s.|f--3s-/en'], [['+/B.am/.'], ['ukraine/Cp.s/en'], ['deal/Cp.s/en']]]}]","[{'PRED': 'threatens', 'SOURCE': 'EU', 'TARGET': 'Russia', 'TOPIC': 'Ukraine Deal Fails'}]"
186,(threatens/Pd.soxx.|f--3s-/en eu/Cp.s/en russia/Cp.s/en (with/T/en (unspecified/Ma/en (new/Ma/en sanctions/Cc.p/en))) (if/T/en (worsens/Pd.s.|f--3s-/en (ukraine/Ma/en crisis/Cc.s/en)))),EU threatens Russia with unspecified new sanctions if Ukraine crisis worsens,"[{'PRED': ['threatens/Pd.soxx.|f--3s-/en'], 'SOURCE': ['eu/Cp.s/en'], 'TARGET': ['russia/Cp.s/en'], 'TOPIC': [['worsens/Pd.s.|f--3s-/en'], [['ukraine/Ma/en'], ['crisis/Cc.s/en']]]}]","[{'PRED': 'threatens', 'SOURCE': 'EU', 'TARGET': 'Russia', 'TOPIC': 'Ukraine crisis worsens'}]"
187,(trashes/Pd.so.|f--3s-/en gop/Cp.s/en china/Cp.s/en),GOP trashes China,"[{'PRED': ['trashes/Pd.so.|f--3s-/en'], 'SOURCE': ['gop/Cp.s/en'], 'TARGET': ['china/Cp.s/en']}]","[{'PRED': 'trashes', 'SOURCE': 'GOP', 'TARGET': 'China'}]"
188,(urge/P.sor.|f-----/en americans/Cp.p/en washington/Cp.s/en ((to/Mi/en help/P.r.-i-----/en) (flee/P.o.-i-----/en (+/B.am/. yemen/Cp.s/en war/Cc.s/en)))),Americans urge Washington to help flee Yemen war,"[{'PRED': ['urge/P.sor.|f-----/en'], 'SOURCE': ['americans/Cp.p/en'], 'TARGET': ['washington/Cp.s/en']}]","[{'PRED': 'urge', 'SOURCE': 'Americans', 'TARGET': 'Washington'}]"
189,(urged/Pd.sor.<f-----/en poland/Cp.s/en britain/Cp.s/en ((to/Mi/en keep/P.oox.-i-----/en) (its/Mp/en residents/Cc.p/en) (from/Br.ma/en safe/Ca/en xenophobia/Cc.s/en) (as/T/en (probed/Pd.so.<f-----/en police/Cc.p/en (of/Br.ma/en murder/Cc.s/en pole/Cp.s/en))))),Poland urged Britain to keep its residents safe from xenophobia as police probed murder of Pole,"[{'PRED': ['urged/Pd.sor.<f-----/en'], 'SOURCE': ['poland/Cp.s/en'], 'TARGET': ['britain/Cp.s/en']}]","[{'PRED': 'urged', 'SOURCE': 'Poland', 'TARGET': 'Britain'}]"
190,(warn/Pd.sor.|f-----/en europeans/Cc.p/en washington/Cp.s/en ((will/Mm/en backfire/P.?.-i-----/en) (arming/Pd.o.|pg----/en kiev/Cp.s/en))),Europeans warn Washington: arming Kiev will backfire,"[{'PRED': ['warn/Pd.sor.|f-----/en'], 'SOURCE': ['europeans/Cc.p/en'], 'TARGET': ['washington/Cp.s/en']}]","[{'PRED': 'warn', 'SOURCE': 'Europeans', 'TARGET': 'Washington'}]"
191,(warn/Pd.sor.|f-----/en kashmiris/Cp.s/en india/Cp.s/en ((is/Mv.|f--3s-/en turning/P.sox.|pg----/en) (its/Mp/en crackdown/Cc.s/en) some/Cd/en (to/T/en militancy/Cc.s/en))),Kashmiris warn India its crackdown is turning some to militancy,"[{'PRED': ['warn/Pd.sor.|f-----/en'], 'SOURCE': ['kashmiris/Cp.s/en'], 'TARGET': ['india/Cp.s/en']}]","[{'PRED': 'warn', 'SOURCE': 'Kashmiris', 'TARGET': 'India'}]"
192,(warned/Pd.sor.<f-----/en china/Cp.s/en japan/Cp.s/en ((to/Mi/en stay/P.xx.-i-----/en) (out/T/en (of/Mt/en (with/Br.ma/en (a/Md/en (growing/Mv.|pg----/en dispute/Cc.s/en)) (over/Br.ma/en (its/Mp/en neighbours/Cc.p/en) (the/Md/en (+/B.am/. (+/B.am/. south/Cp.s/en china/Cp.s/en) sea/Cp.s/en)))))) (as/T/en ((implicitly/M/en accused/Pd.sox.<f-----/en) (the/Md/en philippines/Cp.s/en) beijing/Cp.s/en (of/T/en (delaying/P.o?.|pg----/en talks/Cc.p/en (aimed/P.x.<pf----/en (at/T/en (a/Md/en solution/Cc.s/en))))))))),"China warned Japan to stay out of a growing dispute with its neighbours over the South China Sea, as the Philippines implicitly accused Beijing of delaying talks aimed at a solution","[{'PRED': ['warned/Pd.sor.<f-----/en'], 'SOURCE': ['china/Cp.s/en'], 'TARGET': ['japan/Cp.s/en']}]","[{'PRED': 'warned', 'SOURCE': 'China', 'TARGET': 'Japan'}]"
193,(warned/Pd.sor.<f-----/en gaddafi/Cp.s/en blair/Cp.s/en ((would/Mm/en open/P.sox.-i-----/en) (his/Mp/en ousting/Cc.s/en) door/Cc.s/en (to/T/en jihadis/Cc.p/en))),Gaddafi warned Blair his ousting would 'open door' to jihadis,"[{'PRED': ['warned/Pd.sor.<f-----/en'], 'SOURCE': ['gaddafi/Cp.s/en'], 'TARGET': ['blair/Cp.s/en']}]","[{'PRED': 'warned', 'SOURCE': 'Gaddafi', 'TARGET': 'Blair'}]"
194,(warned/Pd.sor.<f-----/en obama/Cp.s/en cameron/Cp.s/en ((could/Mm/en destroy/P.so.-i-----/en) he/Ci/en (the/Md/en (special/Ma/en relationship/Cc.s/en)))),Obama warned Cameron he could destroy the 'special relationship,"[{'PRED': ['warned/Pd.sor.<f-----/en'], 'SOURCE': ['obama/Cp.s/en'], 'TARGET': ['cameron/Cp.s/en']}]","[{'PRED': 'warned', 'SOURCE': 'Obama', 'TARGET': 'Cameron'}]"
195,(warned/Pd.sor.<f-----/en obama/Cp.s/en india/Cp.s/en ((not/Mn/en (to/Mi/en stray/P.xx.-i-----/en)) (from/T/en (its/Mp/en (constitutional/Ma/en commitment/Cc.s/en))) ((to/Mi/en allow/Pd.r.-i-----/en) ((to/Mi/en (freely/M/en profess/P.s?.-i-----/en)) people/Cc.p/en ((and/J/en practice/P!.?.-i-----/en propagate/Pd..-i-----/en) religion/Cc.s/en))))),"Obama warned India not to stray from its constitutional commitment to allow people to freely ""profess, practice and propagate"" religion","[{'PRED': ['warned/Pd.sor.<f-----/en'], 'SOURCE': ['obama/Cp.s/en'], 'TARGET': ['india/Cp.s/en']}]","[{'PRED': 'warned', 'SOURCE': 'Obama', 'TARGET': 'India'}]"
196,(warned/Pd.sor.<f-----/en washington/Cp.s/en beijing/Cp.s/en ((militarily/M/en (would/Mm/en back/P.so.-i-----/en)) it/Ci/en japan/Cp.s/en)),Washington warned Beijing it would back Japan militarily,"[{'PRED': ['warned/Pd.sor.<f-----/en'], 'SOURCE': ['washington/Cp.s/en'], 'TARGET': ['beijing/Cp.s/en']}]","[{'PRED': 'warned', 'SOURCE': 'Washington', 'TARGET': 'Beijing'}]"
197,(warned/Pd.soxxx.<f-----/en fbi/Cp.s/en dutch/Cp.s/en (about/T/en (+/B.am/. (+/B.am/. el/Cp.s/en bakraoui/Cp.s/en) brothers/Cc.p/en)) week/Cc.s/en (before/T/en (attacks/Pd.s.|f--3s-/en brussels/Cp.s/en))),FBI warned Dutch about El Bakraoui brothers week before Brussels attacks,"[{'PRED': ['warned/Pd.soxxx.<f-----/en'], 'SOURCE': ['fbi/Cp.s/en'], 'TARGET': ['dutch/Cp.s/en'], 'TOPIC': [['attacks/Pd.s.|f--3s-/en'], ['brussels/Cp.s/en']]}]","[{'PRED': 'warned', 'SOURCE': 'FBI', 'TARGET': 'Dutch', 'TOPIC': 'Brussels attacks'}]"
198,(warned/Pd.xsoxx.<f-----/en (in/T/en (an/Md/en (ominous/Ma/en turn/Cc.s/en))) syria/Cp.s/en lebanon/Cp.s/en today/Cc.s/en (against/T/en (continuing/P.r.|pg----/en ((to/Mi/en provide/P.o.-i-----/en) (+/B.mm/. refuge/Cc.s/en (for/Jr.ma/en rebels/Cc.p/en (battling/P.o.|pg----/en (the/Md/en (+/B.am/. assad/Cp.s/en regime/Cc.s/en))))))))),"In an ominous turn, Syria warned Lebanon today against continuing to provide refuge for rebels battling the Assad regime","[{'PRED': ['warned/Pd.xsoxx.<f-----/en'], 'SOURCE': ['syria/Cp.s/en'], 'TARGET': ['lebanon/Cp.s/en'], 'TOPIC': [['continuing/P.r.|pg----/en'], [[['to/Mi/en'], ['provide/P.o.-i-----/en']], [['+/B.mm/.'], ['refuge/Cc.s/en'], [['for/Jr.ma/en'], ['rebels/Cc.p/en'], [['battling/P.o.|pg----/en'], [['the/Md/en'], [['+/B.am/.'], ['assad/Cp.s/en'], ['regime/Cc.s/en']]]]]]]]}]","[{'PRED': 'warned', 'SOURCE': 'Syria', 'TARGET': 'Lebanon', 'TOPIC': 'continuing to provide refuge for rebels battling the Assad regime'}]"
199,(warns/P.so.-------/en israel/Cp.s/en russia/Cp.s/en),Israel Warns Russia,"[{'PRED': ['warns/P.so.-------/en'], 'SOURCE': ['israel/Cp.s/en'], 'TARGET': ['russia/Cp.s/en']}]","[{'PRED': 'Warns', 'SOURCE': 'Israel', 'TARGET': 'Russia'}]"
200,(warns/P.so.-------/en russia/Cp.s/en nato/Cp.s/en),Russia Warns NATO,"[{'PRED': ['warns/P.so.-------/en'], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['nato/Cp.s/en']}]","[{'PRED': 'Warns', 'SOURCE': 'Russia', 'TARGET': 'NATO'}]"
201,(warns/P.sor.|f--3s-/en france/Cp.s/en russia/Cp.s/en ((could/Mm/en cancel/P.so.-i-----/en) it/Ci/en (+/B.am/. warships/Cc.p/en deal/Cc.s/en))),France warns Russia it could cancel warships deal,"[{'PRED': ['warns/P.sor.|f--3s-/en'], 'SOURCE': ['france/Cp.s/en'], 'TARGET': ['russia/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'France', 'TARGET': 'Russia'}]"
202,(warns/P.sox.-------/en russia/Cp.s/en poland/Cp.s/en (after/T/en ((down/M/en pulled/Pd.s.<f-----/en) (+/B.am/. wwii/Cp.s/en monument/Cp.s/en)))),Russia Warns Poland After WWII Monument Pulled Down,"[{'PRED': ['warns/P.sox.-------/en'], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['poland/Cp.s/en'], 'TOPIC': [[['down/M/en'], ['pulled/Pd.s.<f-----/en']], [['+/B.am/.'], ['wwii/Cp.s/en'], ['monument/Cp.s/en']]]}]","[{'PRED': 'Warns', 'SOURCE': 'Russia', 'TARGET': 'Poland', 'TOPIC': 'WWII Monument Pulled Down'}]"
203,(warns/Pd.rso.|f--3s-/en (says/P.sr.|f--3s-/en (+/B.am/. white/Cp.s/en house/Cp.s/en) (retains/P.so.|f--3s-/en it/Ci/en (to/Br.ma/en right/Cc.s/en (in/Br.ma/en (+/B.am/. self/Cc.s/en defence/Cc.s/en) syria/Cp.s/en)))) moscow/Cp.s/en washington/Cp.s/en),White House says it retains right to self-defence in Syria; Moscow warns Washington,"[{'PRED': ['warns/Pd.rso.|f--3s-/en'], 'SOURCE': ['moscow/Cp.s/en'], 'TARGET': ['washington/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'Moscow', 'TARGET': 'Washington'}]"
204,(warns/Pd.rsor.|f--3s-/en (are/P.sxx.|f-----/en (+/B.am/. roma/Cp.s/en people/Cc.p/en) (like/T/en (all/Md/en (+/B.am/. eu/Cp.s/en citizens/Cc.p/en))) (so/T/en ((can/Mm/en live/Pd.sr.-i-----/en) they/Ci/en ((where/M/en want/P.s.|f-----/en) they/Ci/en)))) europe/Cp.s/en france/Cp.s/en ((to/Mi/en stop/P.r.-i-----/en) (kicking/P.ox.|pg----/en roma/Cp.s/en (out/T/en (of/Mt/en (the/Md/en country/Cc.s/en)))))),"Roma people are like all EU citizens so they can live where they want,"" Europe warns France to stop kicking Roma out of the country","[{'PRED': ['warns/Pd.rsor.|f--3s-/en'], 'SOURCE': ['europe/Cp.s/en'], 'TARGET': ['france/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'Europe', 'TARGET': 'France'}]"
205,(warns/Pd.rsor.|f--3s-/en (avoid/P.ox.-i-----/en disruption/Cc.s/en (in/T/en ties/Cc.p/en)) china/Cp.s/en india/Cp.s/en ((over/M/en invite/P.x.-i-----/en) (to/T/en (+/B.am/. dalai/Cp.s/en lama/Cp.s/en)))),Avoid 'disruption' in ties: China warns India over invite to Dalai Lama,"[{'PRED': ['warns/Pd.rsor.|f--3s-/en'], 'SOURCE': ['china/Cp.s/en'], 'TARGET': ['india/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'China', 'TARGET': 'India'}]"
206,(warns/Pd.rsox.|f--3s-/en report/Cc.s/en israel/Cp.s/en lebanon/Cp.s/en (against/T/en (responding/P.x.|pg----/en (to/T/en (alleged/Mv.<pf----/en attack/Cc.s/en))))),Report: Israel warns Lebanon against responding to alleged attack,"[{'PRED': ['warns/Pd.rsox.|f--3s-/en'], 'SOURCE': ['israel/Cp.s/en'], 'TARGET': ['lebanon/Cp.s/en'], 'TOPIC': [['responding/P.x.|pg----/en'], [['to/T/en'], [['alleged/Mv.<pf----/en'], ['attack/Cc.s/en']]]]}]","[{'PRED': 'warns', 'SOURCE': 'Israel', 'TARGET': 'Lebanon', 'TOPIC': 'responding to alleged attack'}]"
207,(warns/Pd.so.|f--3s-/en australia/Cp.s/en indonesia/Cp.s/en),Australia warns Indonesia,"[{'PRED': ['warns/Pd.so.|f--3s-/en'], 'SOURCE': ['australia/Cp.s/en'], 'TARGET': ['indonesia/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'Australia', 'TARGET': 'Indonesia'}]"
208,(warns/Pd.so.|f--3s-/en blair/Cp.s/en uk/Cp.s/en),Blair warns UK,"[{'PRED': ['warns/Pd.so.|f--3s-/en'], 'SOURCE': ['blair/Cp.s/en'], 'TARGET': ['uk/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'Blair', 'TARGET': 'UK'}]"
209,(warns/Pd.so.|f--3s-/en greece/Cp.s/en europe/Cp.s/en),Greece warns Europe,"[{'PRED': ['warns/Pd.so.|f--3s-/en'], 'SOURCE': ['greece/Cp.s/en'], 'TARGET': ['europe/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'Greece', 'TARGET': 'Europe'}]"
210,(warns/Pd.so.|f--3s-/en israel/Cp.s/en syria/Cp.s/en),Israel warns Syria,"[{'PRED': ['warns/Pd.so.|f--3s-/en'], 'SOURCE': ['israel/Cp.s/en'], 'TARGET': ['syria/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'Israel', 'TARGET': 'Syria'}]"
211,(warns/Pd.so.|f--3s-/en pakistan/Cp.s/en india/Cp.s/en),Pakistan warns India,"[{'PRED': ['warns/Pd.so.|f--3s-/en'], 'SOURCE': ['pakistan/Cp.s/en'], 'TARGET': ['india/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'Pakistan', 'TARGET': 'India'}]"
212,(warns/Pd.so.|f--3s-/en russia/Cp.s/en ukraine/Cp.s/en),Russia warns Ukraine,"[{'PRED': ['warns/Pd.so.|f--3s-/en'], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['ukraine/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'Russia', 'TARGET': 'Ukraine'}]"
213,(warns/Pd.sor.|f--3s-/en britain/Cp.s/en scotland/Cp.s/en (forget/P.ox.-i-----/en (the/Md/en pound/Cc.s/en) (if/T/en ((away/Ml/en break/Pd.s.|f-----/en) you/Ci/en)))),Britain warns Scotland: Forget the pound if you break away,"[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['britain/Cp.s/en'], 'TARGET': ['scotland/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'Britain', 'TARGET': 'Scotland'}]"
214,(warns/Pd.sor.|f--3s-/en canada/Cp.s/en russia/Cp.s/en ((wo/Mm/en (n't/Mn/en rejoin/P.sox.-i-----/en)) it/Ci/en (with/Br.ma/en g7/Cp.s/en putin/Cp.s/en) (in/T/en power/Cc.s/en))),Canada warns Russia it won't rejoin G7 with Putin in power,"[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['canada/Cp.s/en'], 'TARGET': ['russia/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'Canada', 'TARGET': 'Russia'}]"
215,(warns/Pd.sor.|f--3s-/en china/Cp.s/en canada/Cp.s/en ((not/Mn/en (to/Mi/en allow/P.r.-i-----/en)) ((to/Mi/en speak/P.sx.-i-----/en) (+/B.am/. (+/B.am/. hong/Cp.s/en kong/Cp.s/en) (+/B.am/. democracy/Cc.s/en leader/Cc.s/en)) (to/T/en (canadian/Ma/en (parliamentary/Ma/en committee/Cc.s/en)))))),China warns Canada not to allow Hong Kong democracy leader to speak to Canadian parliamentary committee,"[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['china/Cp.s/en'], 'TARGET': ['canada/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'China', 'TARGET': 'Canada'}]"
216,(warns/Pd.sor.|f--3s-/en china/Cp.s/en india/Cp.s/en (meet/P.r.-i-----/en ((over/M/en invite/P.xx.-i-----/en) (to/T/en (+/B.am/. dalai/Cp.s/en lama/Cp.s/en)) (to/T/en buddhist/Cp.s/en)))),China warns India over invite to Dalai Lama to Buddhist meet,"[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['china/Cp.s/en'], 'TARGET': ['india/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'China', 'TARGET': 'India'}]"
217,(warns/Pd.sor.|f--3s-/en china/Cp.s/en pakistan/Cp.s/en (that/T/en (is/P.sc.|f--3s-/en (+/B.am/. (+/B.am/. indian/Cp.s/en (+/B.am/. spy/Cp.s/en agency/Cp.s/en)) raw/Cp.s/en) planning/C/en))),China warns Pakistan that Indian Spy Agency RAW is Planning,"[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['china/Cp.s/en'], 'TARGET': ['pakistan/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'China', 'TARGET': 'Pakistan'}]"
218,(warns/Pd.sor.|f--3s-/en china/Cp.s/en singapore/Cp.s/en ((to/Mi/en tread/P.x.-i-----/en) (with/T/en (over/Br.ma/en caution/Cc.s/en (seized/Mv.<pf----/en (+/B.am/. troop/Cc.s/en carriers/Cc.p/en)))))),China warns Singapore to tread with caution over seized troop carriers,"[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['china/Cp.s/en'], 'TARGET': ['singapore/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'China', 'TARGET': 'Singapore'}]"
219,(warns/Pd.sor.|f--3s-/en china/Cp.s/en washington/Cp.s/en ((could/Mm/en take/P.so.-i-----/en) it/Ci/en (over/Br.ma/en (further/Ma/en action/Cc.s/en) (+/B.am/. us/Cp.s/en (+/B.am/. hacking/Cc.s/en charges/Cc.p/en))))),China warns Washington it could take 'further action' over US hacking charges,"[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['china/Cp.s/en'], 'TARGET': ['washington/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'China', 'TARGET': 'Washington'}]"
220,(warns/Pd.sor.|f--3s-/en eu/Cp.s/en greece/Cp.s/en ((do/Mv.-i-----/en (n't/Mn/en assume/P.r.-i-----/en)) ((will/Mm/en accept/P.so.-i-----/en) (+/B.am/. euro/Cp.s/en zone/Cc.s/en) (your/Mp/en demands/Cc.p/en)))),EU warns Greece: Don't assume euro zone will accept your demands,"[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['eu/Cp.s/en'], 'TARGET': ['greece/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'EU', 'TARGET': 'Greece'}]"
221,(warns/Pd.sor.|f--3s-/en eu/Cp.s/en poland/Cp.s/en (that/Tt/en (has/P.so.|f--3s-/en it/Ci/en (24/M#/en hours/Cc.p/en)))),EU warns Poland that it has 24 hours,"[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['eu/Cp.s/en'], 'TARGET': ['poland/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'EU', 'TARGET': 'Poland'}]"
222,(warns/Pd.sor.|f--3s-/en eu/Cp.s/en russia/Cp.s/en (that/T/en ((will/Mm/en hurt/P.so.-i-----/en) (ukraine/Ma/en conflict/Cc.s/en) relations/Cc.p/en))),EU warns Russia that Ukraine conflict will hurt relations,"[{'PRED': ['warns/Pd.sor.|f--3s-/en'], 'SOURCE': ['eu/Cp.s/en'], 'TARGET': ['russia/Cp.s/en']}]","[{'PRED': 'warns', 'SOURCE': 'EU', 'TARGET': 'Russia'}]"
